Наименование филиала ;Необходимый тип транспортного средства;Подана заявка;Выполнена заявка
5 ОПМПВ;Машина с носилками;17.08.2022;18.08.2022
Куркино;Машина с носилками;17.08.2022;19.08.2022
Некрасовка;Машина с носилками;17.08.2022;18.08.2022
Некрасовка;Машина с носилками;17.08.2022;18.08.2022
Некрасовка;Машина с носилками;17.08.2022;18.08.2022
ВПС Бутово;Машина с носилками;17.08.2022;18.08.2022
ВПС Солнцево;Машина с носилками;17.08.2022;20.08.2022
ВПС Бутово;Машина с носилками;17.08.2022;18.08.2022
ВПС Черемушкинская;Машина с носилками;17.08.2022;18.08.2022
ВПС Дегунино;Машина с носилками;17.08.2022;18.08.2022
ВПС Солнцево;Машина с носилками;17.08.2022;18.08.2022
Координационный центр;Скорая помощь (Центр);18.08.2022;17.08.2022
Координационный центр;Скорая помощь (Центр);18.08.2022;17.08.2022
Отдел МТО;Легковой административный транспорт;18.08.2022;18.08.2022
ВПС Царицыно;Машина с носилками;18.08.2022;18.08.2022
Администрация;Легковой административный транспорт;18.08.2022;18.08.2022
Зеленоград;Машина с носилками;18.08.2022;18.08.2022
ВПС Куркино;Машина с носилками;18.08.2022;18.08.2022
ВПС ЦПП;Машина с носилками;18.08.2022;18.08.2022
ПМДХ;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );18.08.2022;22.08.2022
ВПС Солнцево;Машина с носилками;18.08.2022;18.08.2022
ВПС Черемушкинская;Машина с носилками;18.08.2022;18.08.2022
ВПС Куркино;Машина с носилками;18.08.2022;18.08.2022
Администрация;Легковой административный транспорт;18.08.2022;18.08.2022
ВПС Солнцево;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );18.08.2022;18.08.2022
ПМХ;Машина с носилками;18.08.2022;19.08.2022
ПМДХ;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );18.08.2022;18.08.2022
ПМХ;Машина с носилками;18.08.2022;19.08.2022
ВПС Люблино;Машина с носилками;18.08.2022;18.08.2022
Куркино;Машина с носилками;18.08.2022;22.08.2022
ДСУ Люблино;Машина с носилками;18.08.2022;19.08.2022
ВПС Некрасовка;Машина с носилками;18.08.2022;19.08.2022
ВПС Люблино;Машина с носилками;18.08.2022;19.08.2022
Царицыно;Машина с носилками;18.08.2022;19.08.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );18.08.2022;19.08.2022
Координационный центр;Скорая помощь (Центр);19.08.2022;18.08.2022
Координационный центр;Скорая помощь (Центр);19.08.2022;18.08.2022
Координационный центр;Скорая помощь (Центр);19.08.2022;18.08.2022
Отдел МТО;Легковой административный транспорт;19.08.2022;19.08.2022
Администрация;Легковой административный транспорт;19.08.2022;22.08.2022
Администрация;Легковой административный транспорт;19.08.2022;22.08.2022
Администрация;Легковой административный транспорт;19.08.2022;23.08.2022
ВПС Преображенское;Машина с носилками;19.08.2022;19.08.2022
ВПС Зеленоград;Машина с носилками;19.08.2022;19.08.2022
ВПС Ростокино;Машина с носилками;19.08.2022;19.08.2022
Администрация;Легковой административный транспорт;19.08.2022;19.08.2022
ВПС Дегунино;Машина с носилками;19.08.2022;19.08.2022
ВПС Дегунино;Машина с носилками;19.08.2022;19.08.2022
Социальная служба;Машина с носилками;19.08.2022;19.08.2022
ВПС ПМХ;Машина с носилками;19.08.2022;21.08.2022
ВПС Бутово;Машина с носилками;19.08.2022;19.08.2022
ВПС Перово;Машина с носилками;19.08.2022;19.08.2022
